age	O. umbonatus	O. umbonatus	5 pt moving average	5 pt  	% coarse	5 pt 	DCO3= 	DCO3= 	Temp 	BWT	d18O	5 point 	d13C	5 point 	seawater 	seawater 
(Ma)	Li/Ca	Mg/Ca	Li/Ca	moving		 moving	assuming 	assuming 	assuming 	assuming no 	C.mundulus	moving 	C.mundulus	moving 	d18O	d18O
	(umol/mol)	(mmol/mol)	(umol/mol)	average		average	DCO3= 	DCO3= 	BWT at 	saturation 	(per mille) PDB	average	(per mille) PDB	average	 (PDB) (per mille)	 (PDB) (per mille)
				Mg/Ca		% coarse	at 16.975Ma	at 16.975Ma	16.975Ma 	correction	unadjusted	d18O 	unadjusted	d13C	using 	using 
				(mmol/mol)			=0 umol/kg	=0 umol/kg	10.25	necessary 		(per mille) PDB		(per mille) PDB	corrected 	uncorrected 
							using	using		(above threshold)		unadjusted		unadjusted	BWT	BWT
							" ""corrected"" "	" ""uncorrected"" "								
							BWT	BWT								

15.541	15.8	2.69	14.6	2.42	15	16	-8.4	-18.8	9.5	8.8	1.6	1.39	1.67	1.61	0.03	-0.13
15.533	13.3	2.41	14.3	2.52	16	17	-5.7	-12.4	10.1	9.6	1.44	1.47	1.44	1.59	0.26	0.16
15.52	17	2.29	14.7	2.59	16	16	2.4	5.1	10	10.2	1.4	1.48	1.59	1.53	0.26	0.31
15.507	12.2	2.99	14.5	2.55	17	17	-2	-4.5	10.1	9.9	1.45	1.45	1.42	1.54	0.24	0.21
15.48	15.2	2.55	14.8	2.55	17	16	1.5	2.9	9.8	9.9	1.49	1.44	1.52	1.61	0.17	0.19
15.454	14.6	2.53	14.3	2.59	16	16	-1	-2.2	10.3	10.3	1.44	1.42	1.72	1.57	0.29	0.27
15.44	15.1	2.4	14.9	2.44	16	16	-4.4	-10.1	9.3	8.9	1.4	1.45	1.79	1.64	0.05	-0.04
15.427	14.6	2.49	14.8	2.44	16	16	-5	-11.4	9.4	9	1.34	1.45	1.42	1.69	0.08	-0.02
15.408	15.2	2.22	14.6	2.49	18	16	-4.5	-10	9.8	9.4	1.59	1.43	1.73	1.62	0.15	0.06
15.4	14.7	2.58	14.7	2.47	15	17	-4.6	-10.4	9.6	9.3	1.5	1.4	1.8	1.56	0.08	-0.01
15.291	13.4	2.78	14.4	2.47	14	17	-8.4	-18.5	9.8	9.2	1.3	1.4	1.35	1.56	0.13	-0.03
15.278	15.6	2.3	13.7	2.51	20	18	-11.9	-25.6	10.5	9.6	1.25	1.31	1.48	1.47	0.2	-0.02
15.264	13	2.45	13.4	2.51	20	19	-15.5	-33.4	10.7	9.6	1.35	1.26	1.46	1.38	0.22	-0.06
15.236	12	2.46	13.9	2.5	20	20	-10.9	-23.6	10.3	9.5	1.13	1.27	1.28	1.39	0.13	-0.07
15.222	12.8	2.58	13.5	2.57	21	20	-10.7	-22.8	10.9	10.1	1.29	1.29	1.33	1.4	0.28	0.09
15.208	15.9	2.74	13.8	2.56	20	20	-8.6	-18.5	10.6	10	1.33	1.31	1.38	1.42	0.24	0.08
15.18	13.7	2.63	14.1	2.54	19	19	-6.8	-14.8	10.3	9.8	1.33	1.39	1.53	1.51	0.24	0.12
15.124	14.4	2.38	14.4	2.55	18	19	-3.3	-7.2	10.2	9.9	1.46	1.39	1.57	1.55	0.2	0.14
15.109	13.7	2.34	14	2.48	19	19	-11.3	-24.5	10.1	9.3	1.56	1.38	1.71	1.6	0.19	-0.02
15.095	14.2	2.65	14.2	2.42	19	19	-13.1	-28.6	9.8	8.8	1.25	1.39	1.55	1.59	0.1	-0.14
15.081	14.2	2.37	14.1	2.45	20	21	-12.6	-27.4	10	9	1.32	1.38	1.63	1.59	0.14	-0.09
15.066	14.6	2.35	14.3	2.46	19	22	-9.3	-20.5	9.8	9.1	1.35	1.34	1.47	1.52	0.08	-0.1
15.023	13.7	2.53	14.2	2.4	27	24	-14.1	-30.9	9.7	8.6	1.41	1.34	1.59	1.47	0.03	-0.24
14.978	14.9	2.4	14	2.39	26	25	-16.3	-35.7	9.8	8.5	1.39	1.33	1.38	1.41	0.04	-0.27
14.934	13.7	2.34	13.8	2.4	28	26	-18	-39.2	10	8.6	1.23	1.3	1.28	1.35	0.07	-0.27
14.888	13.3	2.33	13.6	2.37	26	25	-21.2	-46	10	8.4	1.26	1.26	1.32	1.3	0.03	-0.37
14.873	13.4	2.4	13.7	2.37	24	25	-21.2	-46.1	10	8.4	1.22	1.24	1.17	1.3	0.01	-0.38
14.858	12.9	2.4	13.8	2.32	23	25	-22.9	-50	9.7	8	1.17	1.26	1.37	1.31	-0.05	-0.48
14.842	14.9	2.39	14.1	2.34	23	25	-19.2	-42	9.5	8.1	1.34	1.25	1.35	1.31	-0.09	-0.45
14.827	14.4	2.09	14.3	2.34	29	25	-16.8	-36.8	9.4	8.1	1.29	1.2	1.35	1.31	-0.18	-0.5
14.812	14.7	2.41	15	2.37	29	26	-7.4	-16.8	9	8.4	1.22	1.19	1.31	1.27	-0.3	-0.45
14.796	14.5	2.42	15.1	2.4	23	27	-5.4	-12.4	9.1	8.6	0.99	1.17	1.17	1.26	-0.29	-0.4
14.78	16.7	2.54	15.3	2.45	26	26	0	-0.7	9.1	9	1.1	1.17	1.17	1.29	-0.29	-0.3
14.749	15	2.55	15	2.45	27	26	-3.1	-7.3	9.3	9	1.25	1.17	1.33	1.29	-0.24	-0.3
14.733	15.7	2.32	15.1	2.47	26	26	-0.9	-2.5	9.3	9.2	1.28	1.25	1.48	1.3	-0.14	-0.17
14.717	13.2	2.41	14.5	2.49	27	26	-6.1	-13.5	9.8	9.4	1.21	1.26	1.29	1.31	-0.01	-0.13
14.701	14.8	2.55	14.7	2.5	24	26	-2.7	-6.1	9.7	9.5	1.4	1.28	1.23	1.35	-0.01	-0.07
14.669	13.7	2.61	14.3	2.54	27	26	-4	-8.7	10.2	9.9	1.16	1.32	1.24	1.4	0.14	0.07
14.653	16.2	2.63	14.7	2.56	28	26	0.4	0.7	10	10	1.36	1.32	1.5	1.45	0.08	0.09
14.637	13.7	2.53	14.7	2.54	25	27	0.4	0.5	9.9	9.9	1.49	1.29	1.72	1.52	0.02	0.03
14.62	15	2.47	15.1	2.55	25	27	4.6	9.6	9.6	9.9	1.18	1.3	1.57	1.55	-0.02	0.06
14.604	15.1	2.49	14.8	2.49	28	26	-2.5	-5.8	9.6	9.4	1.23	1.32	1.58	1.55	0	-0.06
14.587	15.6	2.65	15.1	2.48	27	28	0.4	0.3	9.3	9.3	1.26	1.27	1.37	1.5	-0.12	-0.12
14.571	14.6	2.31	15.1	2.48	23	28	-0.8	-2.2	9.4	9.3	1.46	1.32	1.53	1.48	-0.06	-0.08
14.554	15.3	2.51	15.2	2.48	35	27	0.7	1	9.3	9.3	1.25	1.35	1.46	1.45	-0.05	-0.04
14.538	14.6	2.44	15	2.42	25	27	-5.1	-11.7	9.2	8.8	1.43	1.38	1.47	1.48	-0.05	-0.15
14.504	15.7	2.51	15.2	2.5	26	27	2.4	4.7	9.3	9.5	1.36	1.39	1.41	1.43	0	0.03
14.47	14.7	2.32	15.3	2.51	23	24	3.6	7.3	9.3	9.6	1.41	1.47	1.53	1.4	0.07	0.13
14.419	15.8	2.72	15.3	2.46	24	22	0.5	0.5	9.1	9.1	1.49	1.56	1.3	1.35	0.11	0.11
14.384	15.6	2.55	15.3	2.49	19	24	2.7	5.2	9.2	9.4	1.64	1.6	1.28	1.37	0.18	0.22
14.367	14.7	2.18	15.6	2.52	19	25	7.8	16.3	9.1	9.7	1.89	1.63	1.25	1.36	0.2	0.33
14.311	15.8	2.68	15.4	2.44	32	27	0.6	0.7	9	9	1.56	1.6	1.48	1.31	0.12	0.12
14.293	16.2	2.49	15.6	2.42	32	28	0.7	0.7	8.8	8.8	1.58	1.59	1.48	1.23	0.06	0.06
14.153	14.7	2.32	15.7	2.47	30	29	5.4	10.9	8.8	9.2	1.3	1.61	1.08	1.34	0.1	0.19
13.91	16.4	2.43	15.5	2.42	28	27	-0.4	-1.6	8.9	8.8	1.6	1.69	0.86	1.4	0.17	0.15
13.813	15.5	2.42	15.3	2.4	25	27	-3.7	-8.7	8.9	8.6	2.01	1.72	1.8	1.42	0.22	0.14
13.794	14.4	2.43	15.3	2.43	22	27	-0.9	-2.7	9	8.9	1.93	1.84	1.76	1.54	0.36	0.33
13.775	15.2	2.39	14.9	2.42	28	27	-5.9	-13.4	9.3	8.8	1.75	1.93	1.62	1.7	0.53	0.41
13.755	15.2	2.47	14.9	2.4	30	28	-7.7	-17.3	9.2	8.6	1.92	1.94	1.65	1.61	0.52	0.37
13.716	14	2.41	15.2	2.43	30	30	-2.3	-5.6	9	8.8	2.02	1.98	1.69	1.53	0.52	0.46
13.617	15.5	2.28	15.5	2.42	30	29	-0.4	-1.6	8.9	8.8	2.1	2.06	1.34	1.46	0.55	0.53
13.597	16.2	2.58	15.6	2.41	31	29	0.7	0.7	8.7	8.7	2.11	2.01	1.38	1.35	0.47	0.47
13.577	16.3	2.36	15.8	2.39	24	27	1.6	2.5	8.5	8.5	2.17	2.03	1.28	1.25	0.42	0.44
13.557	15.9	2.44	15.8	2.37	29	27	0	-1.1	8.4	8.4	1.67	2	1.09	1.19	0.38	0.37
13.517	15.1	2.3	15.6	2.34	24	27	-3.4	-8.5	8.4	8.1	2.08	2.04	1.2	1.07	0.42	0.34
13.477	15.4	2.17	15.5	2.31	27	27	-6.7	-15.5	8.4	7.9	1.98	2.01	1.01	1.03	0.39	0.25
13.416	15.4	2.44	15.5	2.26	29	27	-9.9	-22.6	8.2	7.4	2.28	2.05	0.77	1.06	0.38	0.18
13.376	15.6	2.22	15.6	2.29	26	28	-7.1	-16.5	8.2	7.7	2.05	2	1.08	1.07	0.34	0.19
13.355	15.8	2.2	15.5	2.32	27	29	-5.4	-12.8	8.4	8	1.84	2	1.22	1.12	0.39	0.27
13.335	15.8	2.42	15.2	2.35	32	29	-7	-16	8.8	8.2	1.87	1.93	1.24	1.2	0.4	0.25
13.315	15.1	2.35	15.1	2.38	29	30	-6.1	-13.9	8.9	8.5	1.99	1.94	1.27	1.24	0.46	0.33
13.274	13.7	2.58	15.1	2.41	31	29	-4.6	-10.7	9.1	8.7	1.89	1.99	1.2	1.23	0.55	0.45
13.253	15.2	2.35	15	2.42	28	29	-5.5	-12.5	9.2	8.8	2.13	2	1.27	1.19	0.57	0.46
13.233	15.6	2.35	15	2.41	26	29	-5.8	-13.2	9.2	8.7	2.1	2	1.19	1.18	0.57	0.46
13.212	15.2	2.44	15.2	2.32	29	28	-8.6	-19.5	8.7	8	1.88	2.01	1.01	1.14	0.45	0.28
13.192	15	2.33	15.2	2.34	30	28	-7.8	-17.8	8.7	8.1	2.01	2.01	1.21	1.1	0.48	0.32
